,0,1,2,3,4,5
62,7.3885818,-2.5613837,-7.1254506,1.570164,3.1334674,-8.300626
63,4.178467,-1.2403452,-4.358489,0.86307645,2.2941406,-5.345289
64,5.5467467,-1.9005967,-5.594404,1.2434461,2.6437886,-6.599879
65,7.204387,-2.873542,-6.8743954,1.7586877,2.6678631,-7.757064
66,5.375342,-1.8056376,-5.153522,1.124028,2.2345843,-6.1272864
67,7.5803943,-3.1859457,-6.642498,1.7256951,2.155371,-7.4536986
68,7.0275807,-2.7477992,-6.1582694,1.5703367,1.9123348,-6.935418
69,7.850176,-2.9239476,-6.8190565,1.6705291,2.1364048,-7.825376
70,7.8486023,-2.7560859,-6.7596884,1.5107039,2.2807593,-7.9330144
71,7.8984904,-2.669439,-6.7101355,1.4238452,2.3063993,-8.017602
72,7.071586,-2.3263881,-6.1024594,1.270208,2.2273536,-7.3692307
73,7.594764,-2.9196343,-6.404552,1.486724,2.146384,-7.5121903
74,7.3504806,-2.4657547,-6.2689886,1.27647,2.390574,-7.6981535
75,7.40163,-2.4340072,-6.3649316,1.2832417,2.475276,-7.846973
76,6.3816905,-2.1591868,-5.4679513,1.1251556,2.1500933,-6.7848587
77,8.311831,-2.971179,-7.2007384,1.5859566,2.7532973,-8.754442
78,6.490733,-2.5352347,-5.512995,1.3290147,1.9823668,-6.6882544
79,8.316305,-3.2199595,-6.778178,1.5082213,2.3992877,-8.270087
80,7.8206677,-3.105421,-6.562805,1.602283,2.2129812,-7.830796
81,6.9110727,-2.6224225,-5.658913,1.2525862,1.9751726,-6.8715086
82,8.147708,-3.1558506,-6.567179,1.4466788,2.2270794,-7.949459
83,8.473523,-3.3174117,-6.942569,1.560869,2.3929684,-8.344007
84,7.1978188,-2.5654323,-5.936728,1.251933,2.0413074,-7.1890416
85,7.156429,-2.5443344,-5.94731,1.2781731,2.0001974,-7.1427817
86,7.7806044,-3.0697656,-6.2713404,1.4101965,2.0463605,-7.496994
87,8.560787,-2.9532824,-7.1902995,1.6089034,2.1575887,-8.395355
88,7.133784,-2.35035,-5.9614725,1.2679825,1.8553411,-7.0953465
89,8.293618,-2.7547386,-6.915579,1.4908131,2.0785117,-8.159909
90,8.195752,-2.735567,-6.708575,1.4166895,1.9941807,-7.979934
91,7.6508474,-2.8696363,-6.114425,1.3823358,1.7237633,-7.1634903
92,8.112551,-3.1031928,-6.3960023,1.4531049,1.7635247,-7.496671
93,8.572176,-3.4096677,-6.810309,1.6133164,1.8970786,-7.9631014
94,8.507476,-3.1546664,-6.8041105,1.5220131,1.9589237,-8.018966
95,8.522645,-3.31714,-6.7867928,1.5515854,2.017848,-8.007085
96,7.2165427,-2.648933,-6.089368,1.3999739,2.000264,-7.1969366
97,8.108792,-2.9715974,-6.9043255,1.5911833,2.3464353,-8.258156
98,7.6542115,-2.6878223,-6.366499,1.3606868,2.1976535,-7.762935
99,6.72399,-2.5266445,-5.862421,1.392168,2.1125636,-7.0307035
100,7.428551,-2.835022,-6.3893414,1.4457268,2.502158,-7.9311423
101,5.287874,-1.9527043,-4.6403966,1.0084773,2.0135584,-5.969037
102,6.978051,-2.513405,-6.1713276,1.3748912,2.525189,-7.7873707
103,6.1781907,-2.19019,-5.5877905,1.2816696,2.267168,-7.0041666
104,5.8701906,-2.044553,-5.2894735,1.174442,2.218119,-6.735748
105,5.885285,-2.0665698,-5.286979,1.1981823,2.1241252,-6.6322713
106,7.6909223,-2.899977,-6.9798903,1.7482626,2.5104082,-8.326219
107,7.2615366,-3.022695,-6.549764,1.6407706,2.596205,-7.8256817
108,6.353669,-2.5123312,-5.8572745,1.4772197,2.2599294,-6.949314
109,6.53106,-2.9299052,-6.107145,1.622475,2.5052729,-7.066915
110,7.070702,-3.1481643,-6.502159,1.7054045,2.6453648,-7.6225033
111,6.940197,-3.1711383,-6.4080625,1.6733475,2.7412782,-7.5719213
112,7.094615,-3.3164728,-6.675324,1.7902265,2.8885226,-7.7986565
113,5.495107,-2.5474534,-5.3079967,1.4570708,2.2894707,-6.16415
114,6.097818,-2.837027,-5.8616557,1.5724677,2.6528442,-6.940295
115,5.4772725,-2.4913292,-5.260293,1.3503476,2.507472,-6.399663
116,4.836332,-2.079382,-4.484769,0.8822958,2.7100284,-6.1713915
117,7.224648,-3.397151,-6.503692,1.5006392,3.3149898,-8.172493
118,4.923013,-2.0945804,-4.202373,0.4741381,3.0536423,-6.474442
119,3.2559106,-1.0786701,-2.4942868,-0.3526577,2.7442553,-5.328596
120,2.1117558,-0.53505486,-1.4233167,-0.69843113,2.3066256,-4.276552
121,2.0841718,-0.5017931,-0.82185686,-1.2820739,2.5408287,-4.557751
122,1.2582434,-0.18233235,0.06805475,-1.5597596,2.1594505,-3.77319
123,0.9743307,-0.008546688,0.36493197,-1.7583241,2.2168784,-3.998856
124,0.4834489,0.060602564,0.26793808,-1.165611,1.5670729,-2.6080668
125,7.95576,-3.4972334,-5.8822937,1.0335903,2.4772625,-7.6534266
126,7.384939,-3.0357976,-5.9698443,1.1335555,2.6584558,-7.71784
127,7.649889,-3.1118066,-6.194299,1.1541384,2.7954955,-8.044296
128,7.4355173,-2.786673,-6.4514885,1.2325114,3.0448446,-8.332364
129,7.3872533,-2.9077048,-6.3772798,1.2630774,3.050035,-8.198029
130,7.909912,-3.1475537,-6.758251,1.3443911,3.1361084,-8.58998
131,8.156424,-3.4762096,-6.7559376,1.3868786,3.0392368,-8.434354
132,8.197689,-3.4902885,-6.822517,1.3921679,3.1263154,-8.54071
133,7.9269485,-3.5398092,-7.1415095,1.6964345,3.3723454,-8.700326
134,7.8515043,-3.5388372,-6.7970395,1.5611413,3.0898259,-8.255116
135,7.7913775,-3.5655549,-7.633619,2.0658317,3.6015356,-9.08409
136,6.9374833,-3.290125,-7.304133,2.2419517,3.279376,-8.451684
137,7.4657836,-3.3929217,-7.3843217,2.093782,3.2407436,-8.608723
138,7.989839,-3.6309366,-8.13616,2.5199718,3.218678,-9.275746
139,8.398633,-3.7818148,-8.327023,2.558059,3.1573646,-9.462604
140,8.41689,-3.690516,-7.9278464,2.3636546,2.6982596,-8.943733
141,9.179716,-3.8741963,-8.154497,2.2074437,2.8687408,-9.481703
142,9.540918,-3.889718,-8.134262,2.067627,2.7080002,-9.532574
143,9.360971,-3.8525565,-7.869834,2.0021555,2.5469108,-9.216078
144,8.466377,-3.7646835,-7.423104,2.1310492,2.2724078,-8.480528
145,9.645221,-4.2744827,-8.940255,2.737153,2.758201,-10.011857
146,7.732176,-3.71804,-7.41228,2.502489,2.0577462,-8.034349
147,8.304074,-4.153418,-8.810995,3.282788,2.4111412,-9.185173
148,8.067875,-4.2915435,-8.989379,3.5786612,2.3284519,-9.111943
149,8.099201,-3.9654467,-8.905395,3.3513663,2.4465158,-9.228969
150,7.243266,-3.5582855,-8.336542,3.2023063,2.3639665,-8.605992
